S.No.,HSCode,Commodity,2020-2021,%Share,2021-2022,%Share,%Growth
65,3034500,ATLANTIC AND PACIFIC BLUEFIN TUNAS FROZEN,,,0.01,0,
66,3034900,OTHER TUNAS FROZEN EXCL OF HEADING 030391 TO 030399,0.08,0,0,0,-94.53
67,3035100,HERRINGS FROZEN,,,0.01,0,
68,3035300,"SARDINES, SARDINELLA, BRISLING OR SPRATS FROZEN",7.5,0.0019,3.46,0.0006,-53.9
69,3035400,MACKEREL FROZEN,,,0.02,0,
70,3035500,JACK AND HORSE MACKEREL FROZEN,0.03,0,,,
71,3035910,INDIAN MACKERELS (RASTRELLIGER SPP.),0.1,0,0.06,0,-38.69
72,3036300,COD FROZEN,0,0,0.04,0,657.14
73,3036900,"OTHER FISH OF FAMILIES BREGMACEROTIDAE, EUCLICHTHYIDAE, GADIDAE ETC FROZEN",10.36,0.0026,11.91,0.0019,14.98
74,3038110,DOGFISH FROZEN,0.08,0,,,
75,3038190,OTHER SHARKS FROZEN,0.25,0.0001,0.52,0.0001,103.51
76,3038200,RAYS AND SKATES (RAJIDAE) FROZEN,0.08,0,0.1,0,28.06
77,3038300,TOOTH FISH (DISSOSTICHUS SPP.) FROZEN,0.12,0,0.17,0,45.42
78,3038400,SEABASS (DICENTRARCHUS SPP.) FROZEN,0,0,0.06,0,"1,580.56"
79,3038910,HILSA (TENUALOSA ILISHA) FROZEN,14.76,0.0037,14.95,0.0024,1.31
80,3038930,RIBBON FISH FROZEN,0.03,0,0.57,0.0001,"1,829.35"
81,3038940,SEER FROZEN,0.09,0,,,
82,3038950,POMFRET (WHITE OR SILVER OR BLACK) FROZEN,0.03,0,0.95,0.0002,"3,535.77"
83,3038980,"CROAKERS, GROUPERS AND FLOUNDERS FROZEN",0.09,0,0.49,0.0001,415.43
84,3038990,OTHER FROZEN FISH,0.08,0,0.13,0,50.18
85,3039110,EGG OR EGG YOLK OF FISH FROZEN,,,0.01,0,
86,3039190,OTHER,,,0,0,
87,3039990,OTHER EDIBLE FISH OFFAL FROZEN,0.04,0,0.06,0,62.66
88,3043200,"FRSH OR CHLD FILLETS CATFISH (PANGASIUS SPP., SILURUS SPP.,CLARIAS SPP., ICTALURUS SPP.)",0.06,0,,,
89,3043900,"OTHER FRESH OR CHILLED FILLETS OF THE FAMILY TILAPIAS, CATFISH ETC.",,,0,0,
90,3044100,"FRSH OR CHLD FILLETS OF PACIFIC SALMON , ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON",0.08,0,0.06,0,-17.36
91,3044200,FRSH OR CHLD FILLETS OF TROUT,0,0,,,
92,3044600,FRSH OR CHLD FILLETS OF TOOTH FISH (DISSOSTICHUS SPP.),,,0.06,0,
93,3044940,FRSH OR CHLD FILLETS OF TUNA,,,0,0,
94,3044990,OTHER,0,0,,,
95,3045910,FRSH OR CHLD FILLETS OF HILSA (TENUALOSA ILISHA),,,0.02,0,
96,3045990,OTHER,,,3.35,0.0005,
97,3046100,FROZEN FILLETS OF TILAPIAS (OREOCHROMIS SPP.),0.3,0.0001,0.1,0,-66.98
98,3046200,"FROZEN FILLETS OF CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)",6.75,0.0017,10.6,0.0017,57.21
99,3047100,FROZEN FILLETS OF COD,0,0,0.01,0,"1,225.00"
100,3047500,FROZEN FILLETS OF ALASKA POLLACK(THERAGRA CHALCOGRAMMA),,,0.09,0,
101,3047900,"OTHER FROZEN FILLETS OF FISH OF BREGMACEROTIDAE, EUCLICHTHYIDAE,GADIDAE ETC",0.04,0,0.09,0,115.89
102,3048100,FROZEN FILLETS OF PACIFIC SALMON,0.62,0.0002,1.23,0.0002,99.04
103,3048300,FROZEN FILLETS OF FLAT FISH,,,0,0,
104,3048700,FROZEN FILLETS OF TUNAS(OF THE GENUS THUNNUS)SKIPJACK TUNA(STRIPE BELLIED BONITO)(KATSUWONUSPELAMIS),0.06,0,0.27,0,341.26
105,3048990,FROZEN FILLETS OF OTHER FISH,0,0,0.19,0,"62,233.33"
106,3049300,"FROZEN FILLETS OF TILAPIAS,CATFISH, CARP, EELS , NILE PERCH AND SNAKEHEADS",0.13,0,0.23,0,85.99
107,3049400,FROZEN FILLETS OF ALASKA POLLACK(THERAGRA CHALCOGRAMMA),0.46,0.0001,0.19,0,-59.43
108,3049900,OTHER,6.89,0.0017,10.81,0.0018,56.84
109,3052000,"FISH LIVR, ROES AND MILT OF FISH DRIED SMOKD SLTD/IN BRINE",0,0,,,
110,3053200,"FISH DRIED,SALTED OR IN BRINE, SMOKED FISH OF THE FAMILIES BREGMACEROTIDAE ETC",,,0.07,0,
111,3053900,OTHER,3.07,0.0008,0.26,0,-91.66
112,3054100,"PACFC SLMN (ONCRHNCHS NRKA, GRBSCHA ETC) ATLNTC SLMN (SLMO SLR) DNUB SLMN (HCO HCO)",0.11,0,0.49,0.0001,348.23
113,3054900,OTHER SMOKED FISH INCLUDING FILLETS,0,0,,,
114,3055930,SPRATS DRIED NT SMOKED W/N SALTED,,,0,0,
115,3055990,OTHER DRIED N.E.S.NT SMKD,0.77,0.0002,0.52,0.0001,-32.97
116,3056300,ANCHOVIES SLTED OR IN BRINE BUT NT DRD/SMKD,,,0,0,
117,3061290,OTHER FROZEN LOBSTER,0.31,0.0001,0.1,0,-68.18
118,3061400,CRABS FROZEN,0.11,0,1.86,0.0003,"1,530.18"
119,3061690,OTHER,20.41,0.0052,21.71,0.0035,6.39
120,3061719,OTHER SCAMPI,2.65,0.0007,1.22,0.0002,-54.12
121,3061720,VANNAMEI SHRIMP (LITOPENAEUS VANNAMEI),9.59,0.0024,24.1,0.0039,151.31
122,3061730,INDIAN WHITE SHRIMP (FENNEROPENAEUS INDICUS),0.21,0.0001,,,
123,3061740,BLACK TIGER SHRIMP (PENAEUS MONODON),0.29,0.0001,,,
124,3061750,FLOWER SHRIMP (PENAEUS SEMISULCATUS),0.02,0,,,
125,3061790,OTHER SHRIMPS AND PRAWNS,4.17,0.0011,2.65,0.0004,-36.47
126,3061900,OTHER,,,0.19,0,
127,3063900,OTHER,0,0,,,
128,3069300,CRABS OTHN THN LIVE FRESH OR CHILLED,0.03,0,0.76,0.0001,"2,102.03"
129,3069900,OTHER,0,0,,,
130,3071100,"LIVE, FRESH OR CHILLED OYSTERS",0,0,,,
131,3071900,SCALLOPS AND OTHER MOLLUSCS OF THE FAMILY PECTINIDAE,0.14,0,,,
132,3072100,SCALOPS CHLAMYS LIVE FRSH/CHLD,0,0,0,0,104.17
133,3072200,"SCALLOPS PECTEN, CHLAMYS OR PLACOPECTEN FROZEN",0.02,0,0.05,0,118.07
134,3073100,MUSSELS (MUIILUS SPP ETC)LIVE FRSH/CHLD,0.1,0,0.14,0,42.81
135,3073200,MUSSELS FROZEN,0.34,0.0001,0.16,0,-54.49
136,3073990,OTHER,0.15,0,0.04,0,-70.73
137,3074310,CUTTLE FISH FROZEN,0.31,0.0001,0.74,0.0001,140.45
138,3074320,WHOLE SQUIDS FROZEN,1.56,0.0004,1.73,0.0003,10.93
139,3074330,SQUID TUBES FROZEN,0.15,0,0,0,-99.18
140,3074920,"WHOLE SQUIDS OTH THN LIVE, FRESH OR CHILLED AND FROZEN",0.58,0.0001,0.52,0.0001,-10.68
141,3075200,OCTOPUS FROZEN,0.12,0,0.04,0,-68.65
142,3075900,OCTOPUS OTHER THAN LIVE FRSH/CHLLD AND FROZEN,,,0,0,
143,3077200,"CALMS, COCKLES AND ARK SHELLS FROZEN",,,0,0,
144,3078400,FROZEN STROMBOID CONCHS,,,0.06,0,
145,3079990,"*OTHER, INCL. FLOWERS, MEALS AND PELETS, OF AQUATIC INVRTBRTS OTHER THAN CRUSTCNS, FIT FOR HUMAN CONSMPSN",0.09,0,,,
146,3089000,OTHER JELLYFISH OTH THN LIVE FRSH/CHLLD AND FROZEN,0.05,0,0.68,0.0001,"1,156.91"
147,4012000,MLK AND CRM CONTNG FAT>1% BUT<=6% BY WT,0.06,0,0.01,0,-91.24
148,4015000,"MILK, CREAM ETC. OF A FAT CONTENT, BY WEIGHT, EXCEEDING 10%",0.6,0.0002,1.09,0.0002,82.41
149,4021010,SKIMMED MILK,0.99,0.0003,0.92,0.0002,-6.52
150,4021090,"OTHER MLK AND CRM IN PWDR,GRANL OR SOLID FRM OF FAT CONTNT, BY WT. NOT EXCDNG 1.5%",0.07,0,0.01,0,-91.1
151,4022100,"MLK AND CRM IN PWDR,GRNLS/OTHR SOLID FORMS NOT CONTNG ADDED SUGAR/OTHR SWETNG MATTER CONTNG FAT EXCEEDNG 1.5% BY WT",0.34,0.0001,0,0,-99.77
152,4029110,CONDENSED MILK,0.01,0,,,
153,4029190,"OTHER,NOT CONTNG ADDED SUGAR OR SWTNING MTTR",,,0,0,
154,4029910,WHOLE MILK,0.1,0,,,
155,4029990,OTHER MILK AND CREM,0.03,0,,,
156,4031000,*YOGURT,0.02,0,,,
157,4039010,BUTTER MILK,0.03,0,0.03,0,11.55
158,4039090,"OTHERS(CROLD MLK,CRM,KIHIR ETC)",0.07,0,0.01,0,-80.94
159,4041010,"WHEY,CONCNTRD EVPTD CONDSD (LQD/SEMI LQD)",0.22,0.0001,0.36,0.0001,64.81
160,4041020,"WHEY,DRY,BLOCKS AND POWDERED",18.83,0.0048,14.52,0.0024,-22.88
161,4041090,OTHER WHEY,0.68,0.0002,0.44,0.0001,-35.67
162,4049000,PRODCTS OTHRTHAN WHEY CONSISTING OF NATURAL MILK CONSTITNTS,1.82,0.0005,0.72,0.0001,-60.28
163,4051000,BUTTER,2.9,0.0007,0.57,0.0001,-80.38
164,4059010,BUTTER OIL,,,0.16,0,
165,4059020,MELTED BUTTER (GHEE),0.2,0.0001,0.11,0,-45.57
166,4059090,OTHER FATS AND OILS DERVTVD FROM MILK,0,0,0,0,88.24
167,4061000,FRSH CHESE(INCL WHEY CHSE)NT FRMNTD AND CURD,0.71,0.0002,1.29,0.0002,83.18
168,4062000,GRATED OR POWDERED CHEESE OF ALL KINDS,0.16,0,0.27,0,69.1
169,4063000,PROCESSED CHEESE NOT GRATED/POWDERED,2.58,0.0007,2.68,0.0004,3.65
170,4064000,BLUE VEINED CHEESE,0.01,0,0.14,0,"1,555.95"
171,4069000,OTHER CHEESE,0.96,0.0002,3.81,0.0006,299.06
172,4071100,OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,0.02,0,,,
173,4071910,OF DUCKS,0.01,0,,,
174,4071990,FERTILISED EGGS OF OTHER BIRDS,0.02,0,0.03,0,31.43
175,4072100,OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,0.22,0.0001,0.1,0,-55.85
176,4079000,OTHER EGGS OF HDG. 0407,,,0.25,0,
177,4081100,EGG YOLKS DRIED,,,0.09,0,
178,4081900,OTHER EGG YOLKS NOT DRIED,,,0.02,0,
179,4089100,BIRDS EGGS NOT IN SHELL DRIED,0,0,0.05,0,"5,766.67"
180,4090000,NATURAL HONEY,1.77,0.0004,2.47,0.0004,39.86
181,4100090,*EDBL PRDCTS OTHR THAN TURTLE EGGS/ SALANGANES OF ANML ORGN N.E.S.OR INCLUDED,,,,,
182,5010010,"HUMAN HAIR,UNWORKED; WHETHR OR NOT WASHD OR SCOURED",0.02,0,0.01,0,-38.77
183,5010020,WASTE OF HUMAN HAIR,,,0.01,0,
184,5021010,"PIGS,HOGS/BOARS BRISTLS AND HAIR",0.29,0.0001,0.69,0.0001,140.5
185,5029010,BADGER HAIR AND OTHER BRUSH MAKING HAIR,0.42,0.0001,0.39,0.0001,-7.32
186,5029090,OTHER HAIR EXCLDNG BADGER HAIR AND YAK TAIL,0.01,0,,,
187,5040039,GUTS OF OTHR ANMLS FOR NATRL FOOD CASNGS,0.07,0,0.03,0,-56.38
188,5051010,FEATHER OF WILD BIRDS USD FOR STFNG;DOWN,,,0.02,0,
189,5051090,OTHER FEATHER USD FOR STFNG;DOWN,0.16,0,0.64,0.0001,285.91
190,5061019,BONES INCLDNG HORN-CORES CRSHD OF OTHRS TRTD WITH ACID,0.39,0.0001,1.38,0.0002,255.73
191,5061049,"BONES,HRNCONES AND PARTS NOT CRSHD OF OTHERS",0.01,0,,,
192,5069099,"OTHR(OTHR THN BONS,HORNCORES,OSSEIN ETC) OF OTHERS.",0.42,0.0001,0.55,0.0001,30.02
193,5079050,BUFFALO HORNS,0.03,0,0,0,-88.17
194,5079090,"OTHER, UNWRKD OR SIMPLY PREPRD BUT NOT CUT TO SHAPE, PWDR AND WASTE",0.07,0,0.23,0,210.53
195,5080010,CORAL UNWRKD/SMPLY PRPD BT NT OTHRWSE WRKD,1,0.0003,2.22,0.0004,122.89
196,5080020,CHANKS,0.72,0.0002,0.94,0.0002,29.86
197,5080030,COWRIES,0.55,0.0001,0.79,0.0001,43.68
198,5080050,"SHELLS OF MOLUSCS,CRSTACNS/ECHINODRMS",0.37,0.0001,0.48,0.0001,28.56
199,5080090,OTHERS INCLUDING POWDER AND WASTE,0.09,0,0.13,0,40.88
200,5100020,OX GALLSTONE,,,0.2,0,
201,5100099,"OTHER, EXCL. OF WILD ANIMALS",2.84,0.0007,4.94,0.0008,73.97
202,5111000,BOVINE SEMEN,0.1,0,0.42,0.0001,299.71
203,5119190,"OTHERS EXCLDNG FISH NAIL,TAIL AND WSTE.",7.15,0.0018,6.74,0.0011,-5.75
204,5119911,ARTEMIA,14.9,0.0038,23.4,0.0038,57.01
205,5119991,"FRZN SEMEN,OTHR THAN BOVINE;BOVNE EMBRYO",0.06,0,,,
206,5119999,"OTHER ANML PRODCTS, NES, UNFIT FOR HUMAN CONSMPSN",0.03,0,0.01,0,-71.26
207,6011000,"BULBS,TUBERS,TUBEROUS ROOTS, CORMS,CROWN AND RHIZOMES,DORMANT",0.41,0.0001,0.69,0.0001,67.94
208,6012010,BULBS HORTICULTURAL,1.56,0.0004,2.63,0.0004,68.65
209,6012021,CHICORY PLANTS,0.04,0,,,
210,6012090,"OTHER BLBS,.TUBRS,TUBRUS ROOTS ETC.",0,0,,,
211,6021000,UNROOTED CUTTINGS AND SLIPS OF LIVE PLANTS,0.43,0.0001,0.17,0,-60.95
212,6022010,"EDIBLE FRUIT/NUT TREES,GRAFTED OR NOT",0.53,0.0001,0.77,0.0001,46.26
213,6022020,CACTUS,0.1,0,0.15,0,45.01
214,6022090,"OTHER TREES,SHRBS AND BUSH GRFTD/NOT",6.71,0.0017,8.64,0.0014,28.63
215,6024000,ROSES GRAFTED OR NOT,0.01,0,0.02,0,217.19
216,6029010,MUSHROOM SPAWN,0.21,0.0001,0.22,0,5.94
217,6029020,FLOWRING PLANTS (EXCL ROSES AND RHODODNDRN),0.91,0.0002,1.89,0.0003,108.66
218,6029030,PLANT FOR TISSUE CULTURE,2.82,0.0007,4.11,0.0007,45.59
219,6029090,OTHER LIVE PLANTS,6.68,0.0017,12.45,0.002,86.36
220,6031100,ROSES,,,0,0,
221,6031300,ORCHIDS,0.06,0,0.88,0.0001,"1,472.89"
222,6031400,CHRYSANTHEMUMS,,,,,
223,6031500,LILIES (LILIUM SPP.),0,0,,,
224,6031900,"OTHER, FRSH CUT FLOWERS AND FLOWER BUDS",0.36,0.0001,0.48,0.0001,34.58
225,6039000,OTHR CUT FLWRS AND FLOWER BUDS SUITABLE FOR BOQETS/FOR ORNMNTL PURPSES,0.02,0,0.02,0,-9.44
226,6042000,FRESH OF HDG. 0604,,,,,
227,6049000,OTHER OF HDG. 0604,0.88,0.0002,1.5,0.0002,71.24
228,7011000,POTATO SEEDS FRESH OR CHILLED,,,0,0,
229,7019000,POTATOES FRESH OR CHILLED OTHER THAN SEEDS,0.03,0,0.77,0.0001,"2,266.15"
230,7031010,ONIONS FRESH OR CHILLED,28.53,0.0072,14.19,0.0023,-50.25
231,7031020,SHALLOTS FRESH OR CHILLED,0.08,0,,,
232,7032000,GARLIC FRESH OR CHILLED,4.59,0.0012,0.96,0.0002,-79.17
233,7041000,CAULIFLOWRS AND BROCCOLI,,,0,0,
234,7049000,"KOHRBI,KALEANDSMLR EDBL BRASSICAS,FRSH/CHLD",0.65,0.0002,1.15,0.0002,75.44
235,7051100,CABAGE LETTUCE(HEAD LETTUCE)FRSH OR CHLD,,,0,0,
236,7061000,CARROTS AND TURNIPS FRSH OR CHILLED,,,0.03,0,
237,7069010,H0RSE RADISH,0.04,0,0.03,0,-32.29
238,7069020,OTHER RADISH,0,0,0,0,-47.37
239,7069090,OTHER ROOTSFRSH OR CHLD,,,0,0,
240,7070000,CUCUMBERS AND GHERKINS FRSH OR CHLD,,,0,0,
241,7081000,PEAS SHLD OR UNSHLD FRSH OR CHLD,0.06,0,0,0,-95.76
242,7082000,BEANS SHLD OR UNSHLD FRSH OR CHLD,,,0,0,
243,7092000,ASPARAGUS FRESH OR CHILLED,0.6,0.0002,1.2,0.0002,100.1
244,7094000,CELERY OTHER THAN CELERIAC FRSH OR CHLD,0,0,0.01,0,690.91
245,7095900,OTHER TRUFFLES FRESH OR CHILLED,0.04,0,0.1,0,168.16
246,7096010,GREEN CHILLY,,,0.02,0,
247,7096090,OTHER FRUITS OF THE GENUS CAPSICUM OR PIMENTA,,,0.04,0,
248,7099200,OLIVES,0,0,0,0,20
249,7099310,PUMPKINS,,,0,0,
250,7099910,GREEN PEPPER,0.24,0.0001,,,
251,7099930,OKRA/LADY FINGER (BHINDI),,,0.03,0,
252,7099990,OTHER OF HDG. 070999,0.01,0,0.06,0,335.07
253,7101000,"POTATOES COOKED OR UNCOOKED,FROZEN",0,0,0.33,0.0001,"8,046.34"
254,7102100,"PEAS SHELLED OR UNSHELLED,FRZN",,,0.1,0,
255,7102200,"BEANS SHELLED OR UNSHELLED,FRZN",0,0,,,
256,7102900,OTHR LEGUMINOUS VEGTBLS SHELD OR NT FRZN,0.09,0,0.21,0,142.69
257,7103000,SPINACH FRZN,,,0.03,0,
258,7104000,SWEET CORN FRZN,0.06,0,0,0,-96.19
259,7108090,"OTHER VEGETABLES, FROZN",0.08,0,0.13,0,55.74
260,7112000,OLIVES PROVISIONALLY PRESERVED,0.66,0.0002,0.37,0.0001,-44.18
261,7114000,CUCUMBERS AND GHERKINS PROVISIONALLY PRESVD,0.03,0,0,0,-99.64
262,7115100,MUSHROOMS OF GENUS AGARICUS PROVISONALLY PRESRVD,0.2,0.0001,0.16,0,-19.16
263,7115900,OTHERUSHROOMS AND TRUFFLES PROVISNLY PRESRVD,0.17,0,0.29,0,77.01
264,7119010,GREEN PEPPER IN BRINE,0.03,0,0,0,-91.29
265,7119020,ASSORTED CANNED VEGETABLES,0.23,0.0001,0.12,0,-47.18
266,7119090,OTHERS PROVISIONALLY PRESERVED,1.49,0.0004,1.8,0.0003,21.21
267,7122000,ONIONS DRIED,0.56,0.0001,0.7,0.0001,24.09
268,7123100,"MUSHROOMS OF GENUS AGARIGVS,DRIED,WHLE,CT,SLCED,BRKN",0.01,0,,,
269,7123900,OTHERS (E.G.TRUFFLES ETC.)DRIED.,0.31,0.0001,0.23,0,-25.02
270,7129010,ASPARAGUS DRIED,0.03,0,,,
271,7129020,DEHYDRATED GARLIC POWDER,0.09,0,0.02,0,-72.55
272,7129030,DEHYDRATED GARLIC FLAKES,0.04,0,0.05,0,33.6
273,7129040,DRIED GARLIC,0.17,0,0.11,0,-35.22
274,7129050,"MARJORAM, OREGANO",1.12,0.0003,1.29,0.0002,14.85
275,7129060,POTATOES,0.01,0,0,0,-79.29
276,7129090,"OTHERS,DRIED",2.62,0.0007,2.23,0.0004,-14.89
277,7131010,YELLOW PEAS,9.66,0.0025,0.07,0,-99.29
278,7131020,GREEN PEAS,,,0.25,0,
279,7131090,OTHER,3.53,0.0009,,,
280,7132010,KABULI CHANA,77.4,0.0196,45.03,0.0073,-41.82
281,7132020,BENGAL GRAM (DESI CHANA),91.7,0.0232,99.53,0.0162,8.54
282,7132090,OTHER CHANA,0.22,0.0001,0.29,0,30.84
283,7133110,BEANS OF THE SPP VIGNA MUNGO (L.) HEPPER,288.15,0.0731,552.28,0.0901,91.66
284,7133190,BEANS OF THE SPP VIGNA RADIATA (L.) WILCZEK,77.14,0.0196,172.04,0.0281,123.02
285,7133200,SMALL RED BEANS DRIED AND SHLD,,,0,0,
286,7133300,KIDNY BENS INCL WHTE PEA BENS DRIED AND SHLD,111.93,0.0284,162.93,0.0266,45.57
287,7133500,COW PEAS (VIGNA UNGUICULATA),29.18,0.0074,64.17,0.0105,119.94
288,7133910,GUAR SEEDS,0.02,0,0.01,0,-32.34
289,7133990,OTHER DRIED LEGUMINUS VEGETABLES,9.43,0.0024,11.09,0.0018,17.55
290,7134000,"LENTILS (MOSUR),DRIED AND SHLD",622.4,0.1578,528.74,0.0862,-15.05
291,7135000,BROAD BEANS AND HORSE BEANS DRIED AND SHLD,3.6,0.0009,8.03,0.0013,123.11
292,7136000,PIGEON PEAS (CAJANUS CAJAN),304.69,0.0772,640.88,0.1045,110.34
293,7139010,"OTHR DRIED AND SHLD LUGUMINOUS VEGTBLS,SPLIT",11.57,0.0029,7.39,0.0012,-36.09
294,7139090,OTHER OF HDG. 071390,0.29,0.0001,0.39,0.0001,34.41
295,7142000,SWET POTATOES,0.01,0,0.08,0,477.93
296,7143000,YAMS (DIOSCOREA SPP.),0.01,0,0.01,0,16
297,7144000,TARO (COLOCASIA SPP.),,,0,0,
298,7149090,OTHR EDBL RTS AND TBRS CONTG HGH STRCH/INULN,,,0.01,0,
299,8011100,COCONUT DESICCATED,11.82,0.003,12.19,0.002,3.12
300,8011290,OTHER ENDOCARP,0,0,,,
301,8011910,COCONUT FRESH EXCL. DESICCATED AND ENDOCARP,,,0.05,0,
302,8011990,OTHR COCONUTS EXCLDNG FRESH AND DRIED AND DESICCATED AND ENDOCARP,0.55,0.0001,0.1,0,-81.11
303,8012100,BRAZIL NUTS FRSH/DRED IN SHELL,0.08,0,,,
304,8013100,CASHEN NUTS FRESH/DRIED IN SHELL,984.76,0.2497,"1,229.57",0.2006,24.86
305,8013210,"CASHEW KARNEL, BROKEN",0.79,0.0002,1.54,0.0003,94.01
306,8013220,"CASHEW KARNEL, WHOLE",20.61,0.0052,24.28,0.004,17.81
